LogID	Event	Time
1	Step A	2023-04-09 23:17:49.617958
1	Step B	2023-04-09 23:17:50.118559
1	Step D	2023-04-09 23:17:50.632759
1	Step G	2023-04-09 23:17:51.148427
1	Step H	2023-04-09 23:17:51.664913
1	Step E	2023-04-09 23:17:52.178989
1	Step C	2023-04-09 23:17:52.693801
2	Step A	2023-04-09 23:17:53.205274
2	Step B	2023-04-09 23:17:53.706418
2	Step C	2023-04-09 23:17:54.218098
2	Step D	2023-04-09 23:17:54.733948
2	Step G	2023-04-09 23:17:55.248751
2	Step H	2023-04-09 23:17:55.764283
2	Step E	2023-04-09 23:17:56.264415
3	Step A	2023-04-09 23:17:56.779844
3	Step B	2023-04-09 23:17:57.293718
3	Step C	2023-04-09 23:17:57.806138
3	Step D	2023-04-09 23:17:58.317078
3	Step E	2023-04-09 23:17:58.833408
3	Step F	2023-04-09 23:17:59.347408
3	Step H	2023-04-09 23:17:59.859655
4	Step A	2023-04-09 23:18:00.375465
4	Step B	2023-04-09 23:18:00.888397
4	Step D	2023-04-09 23:18:01.388778
4	Step E	2023-04-09 23:18:01.902402
4	Step F	2023-04-09 23:18:02.415858
4	Step H	2023-04-09 23:18:02.930411
4	Step C	2023-04-09 23:18:03.444829
5	Step A	2023-04-09 23:18:03.957567
5	Step B	2023-04-09 23:18:04.471226
5	Step C	2023-04-09 23:18:04.984932
5	Step D	2023-04-09 23:18:05.497886
5	Step F	2023-04-09 23:18:06.002500
5	Step H	2023-04-09 23:18:06.516203
5	Step E	2023-04-09 23:18:07.017619
