LogID	Event	Time
1	Step A	2023-04-08 00:06:29.664378
1	Step B	2023-04-08 00:06:30.175386
1	Step C	2023-04-08 00:06:30.688795
1	Step D	2023-04-08 00:06:31.203383
1	Step F	2023-04-08 00:06:31.716069
1	Step H	2023-04-08 00:06:29.691300
1	Step E	2023-04-08 00:06:30.203596
2	Step A	2023-04-08 00:06:30.717104
2	Step B	2023-04-08 00:06:31.227832
2	Step C	2023-04-08 00:06:31.741286
2	Step D	2023-04-08 00:06:32.252230
2	Step E	2023-04-08 00:06:32.766586
2	Step F	2023-04-08 00:06:33.281939
2	Step H	2023-04-08 00:06:33.797261
3	Step A	2023-04-08 00:06:34.306767
3	Step B	2023-04-08 00:06:34.816912
3	Step D	2023-04-08 00:06:35.330860
3	Step G	2023-04-08 00:06:35.843614
3	Step H	2023-04-08 00:06:36.353958
3	Step E	2023-04-08 00:06:36.864096
3	Step C	2023-04-08 00:06:37.376441
4	Step A	2023-04-08 00:06:37.887507
4	Step B	2023-04-08 00:06:38.400667
4	Step C	2023-04-08 00:06:38.913882
4	Step D	2023-04-08 00:06:39.426710
4	Step E	2023-04-08 00:06:39.935567
4	Step F	2023-04-08 00:06:40.449350
4	Step H	2023-04-08 00:06:40.962475
5	Step A	2023-04-08 00:06:41.477758
5	Step B	2023-04-08 00:06:41.990200
5	Step C	2023-04-08 00:06:42.500042
5	Step D	2023-04-08 00:06:43.012584
5	Step E	2023-04-08 00:06:43.524284
5	Step F	2023-04-08 00:06:44.036683
5	Step H	2023-04-08 00:06:44.546918
6	Step A	2023-04-08 00:06:45.056853
6	Step B	2023-04-08 00:06:45.566092
6	Step C	2023-04-08 00:06:46.077981
6	Step D	2023-04-08 00:06:46.590387
6	Step E	2023-04-08 00:06:47.101658
6	Step F	2023-04-08 00:06:47.609320
6	Step H	2023-04-08 00:06:48.120868
7	Step A	2023-04-08 00:06:48.636313
7	Step B	2023-04-08 00:06:49.149394
7	Step D	2023-04-08 00:06:49.657370
7	Step F	2023-04-08 00:06:50.164295
7	Step H	2023-04-08 00:06:50.678672
7	Step E	2023-04-08 00:06:51.191799
7	Step C	2023-04-08 00:06:51.703835
8	Step A	2023-04-08 00:06:52.216495
8	Step B	2023-04-08 00:06:52.727760
8	Step C	2023-04-08 00:06:53.241155
8	Step D	2023-04-08 00:06:53.752247
8	Step F	2023-04-08 00:06:54.258733
8	Step H	2023-04-08 00:06:54.769563
8	Step E	2023-04-08 00:06:55.280749
